ko,sequence_count,full_f1,full_note,frag_f1,frag_note
K00001,913,0.423913,,0.349515,
K00002,1644,0.765832,,0.603066,
K00003,3581,0.969086,,0.903814,
K00004,905,0.703704,,0.66129,
K00005,646,0.911765,,0.820755,
K00006,960,0.977528,,0.931596,
K00007,154,1.0,,0.978723,
K00008,2604,0.724607,,0.617854,
K00009,764,0.9699,,0.929577,
K00010,2580,0.701613,,0.570701,
K00011,981,0.747619,,0.74772,
K00012,5241,0.983511,,0.940056,
K00013,4036,0.990037,,0.955388,
K00014,2815,0.816291,,0.782431,
K00015,1371,0.767273,,0.668122,
K00016,2614,0.946535,,0.915976,
K00018,1105,0.899123,,0.782123,
K00019,2781,0.84127,,0.749073,
K00020,4903,0.756121,,0.712009,
K00021,1297,0.982107,,0.856322,
K00022,589,0.820809,,0.901408,
K00023,1028,0.96648,,0.931148,
K00024,2320,0.967598,,0.904494,
K00025,477,0.925714,,0.927536,
K00026,1099,0.931818,,0.904762,
K00027,2606,0.975562,,0.904412,
K00028,141,1.0,,0.882353,
K00029,2992,0.982964,,0.933198,
K00030,1727,0.954545,,0.906195,
K00031,3797,0.976271,,0.921667,
K00032,89,0.909091,,0.909091,
K00033,3629,0.986833,,0.944488,
K00033+K00772,11,1.0,,,
K00034,1019,0.709497,,0.66383,
K00035,298,0.909091,,0.930693,
K00036,4431,0.987414,,0.943597,
K00036+K01057,24,1.0,no negative,,
K00037,39,0.666667,,0.2,
K00038,1002,0.792839,,0.643836,
K00039,178,1.0,,0.923077,
K00040,1279,0.924855,,0.821101,
K00041,761,0.970874,,0.909091,
K00042,1215,0.877273,,0.860465,
K00043,207,0.918919,,0.8,
K00044,152,0.981132,,0.943396,
K00045,739,0.952055,,0.892019,
K00045+K00854,1,0.0,,,
K00046,931,0.88254,,0.780083,
K00048,201,0.986301,,0.969697,
K00049,644,0.816,,0.758621,
K00051,90,0.969697,,0.903226,
K00052,3619,0.965368,,0.930196,
K00053,2412,0.992685,,0.9257,
K00054,820,0.972136,,0.918699,
K00054+K23557,1,1.0,,,
K00055,746,0.906667,,0.753036,
K00057,4419,0.985261,,0.932256,
K00058,6873,0.853797,,0.809463,
K00059,20870,0.625318,,0.527434,
K00060,745,0.954887,,0.911392,
K00061,124,0.727273,,0.709677,
K00062,86,0.590909,,0.588235,
K00063,43,0.857143,,0.769231,
K00064,1285,0.955285,,0.861538,
K00065,1407,0.878327,,0.842857,
K00066,213,0.96,,0.904762,
K00067,5278,0.90469,,0.849943,
K00068,238,0.956522,,0.866667,
K00069,1245,0.806794,,0.751918,
K00070,359,0.887218,,0.666667,
K00071,176,1.0,,0.956522,
K00072,601,0.944206,,0.842105,
K00073,124,1.0,,0.926829,
K00074,4959,0.940874,,0.885505,
K00075,5096,0.979892,,0.900687,
K00075+K01921,2,,no sample,,
K00076,447,0.814286,,0.585366,
K00077,5412,0.919762,,0.831318,
K00077+K00606,5,0.0,,,
K00078,698,0.898246,,0.792627,
K00079,1126,0.772512,,0.748634,
K00081,52,0.947368,,0.875,
K00082,18,1.0,,1.0,
K00083,512,0.830357,,0.797872,
K00084,98,0.0,,0.0,
K00085,4,0.0,,1.0,
K00086,62,0.875,,0.8,
K00087,375,0.367816,,0.181818,
K00088,3844,0.991487,,0.964421,
K00089,12,0.0,no positive,0.0,
K00090,563,0.860215,,0.870748,
K00091,303,0.828283,,0.810127,
K00093,2,1.0,no negative,1.0,no negative
K00094,46,0.941176,,0.923077,
K00095,8,0.0,no positive,0.0,no positive
K00096,776,0.896321,,0.821782,
K00097,2277,0.876742,,0.811388,
K00098,539,0.980583,,0.883436,
K00099,3969,0.996207,,0.956338,
K00100,72,0.666667,,0.666667,
K00101,1914,0.904215,,0.837956,
K00102,1604,0.950427,,0.8125,
K00103,676,0.873563,,0.812834,
K00104,2660,0.814061,,0.835966,
K00105,83,0.967742,,0.916667,
K00106,1468,0.960139,,0.895075,
K00107,103,1.0,,1.0,
K00108,999,0.802292,,0.727273,
K00109,536,0.88785,,0.871429,
K00111,5044,0.947422,,0.877925,
K00112,364,0.978723,,0.795918,
K00113,423,0.895028,,0.878788,
K00114,460,0.705128,,0.715447,
K00115,482,0.370656,,0.299213,
K00116,1528,0.981997,,0.901468,
K00117,1093,0.676471,,0.59596,
K00118,8,0.5,,0.0,
K00119,99,0.714286,,0.666667,
K00120,31,1.0,no negative,0.833333,
K00121,2633,0.782197,,0.78489,
K00122,365,0.992806,,0.929134,
K00123,2488,0.850649,,0.755134,
K00124,1746,0.872576,,0.783088,
K00124+K00127,3,0.0,,,
K00125,223,0.905263,,0.847458,
K00126,610,0.896861,,0.835681,
K00127,1652,0.881988,,0.725664,
K00128,8926,0.835234,,0.726421,
K00129,640,0.841202,,0.8,
K00130,2179,0.879012,,0.810559,
K00131,456,0.964706,,0.907801,
K00132,274,0.877193,,0.86747,
K00133,4107,0.959856,,0.911278,
K00134,5364,0.977033,,0.923077,
K00135,6793,0.923647,,0.891097,
K00137,259,0.86747,,0.91358,
K00138,1074,0.959036,,0.953125,
K00139,370,0.931298,,0.813187,
K00140,2856,0.979298,,0.96084,
K00141,437,0.885906,,0.780488,
K00142,506,0.956522,,0.847682,
K00143,136,0.837209,,0.909091,
K00145,4037,0.985037,,0.926116,
K00146,576,0.820225,,0.702703,
K00147,3959,0.989835,,0.957091,
K00148,478,0.895522,,0.778626,
K00149,216,0.977273,,1.0,
K00150,635,0.936709,,0.893617,
K00151,364,0.963504,,0.910891,
K00152,3,0.666667,,1.0,no negative
K00153,419,0.973333,,0.903704,
K00154,1075,0.966019,,0.924855,
K00155,28,0.8,,0.666667,
K00156,1485,0.984615,,0.949721,
K00157,356,0.992806,,0.893204,
K00158,317,0.965517,,0.987013,
K00161,2681,0.951904,,0.915525,
K00162,2092,0.958549,,0.912173,
K00163,1820,0.990318,,0.924429,
K00164,2596,0.990291,,0.934066,
K00166,2512,0.953722,,0.907712,
K00167,1853,0.947226,,0.893372,
K00169,705,0.935252,,0.809249,
K00170,597,0.941176,,0.885906,
K00171,471,0.820809,,0.868966,
K00172,642,0.853556,,0.81203,
K00174,2168,0.970964,,0.918519,
K00175,2108,0.987044,,0.938202,
K00176,848,0.861357,,0.754717,
K00177,898,0.962751,,0.888031,
K00179,994,0.987469,,0.948718,
K00180,1026,0.942928,,0.875862,
K00181,333,0.984848,,0.848485,
K00182,224,0.920635,,0.90411,
K00184,84,0.48,,0.5,
K00185,68,0.833333,,0.666667,
K00186,78,0.888889,,0.5,
K00187,68,0.947368,,1.0,
K00188,65,0.705882,,0.705882,
K00189,40,0.266667,,0.4,
K00192,65,0.962963,,0.952381,
K00193,72,0.933333,,0.736842,
K00194,151,0.983051,,0.933333,
K00195,71,0.88,,0.9,
K00196,398,0.646707,,0.79661,
K00197,178,0.985915,,0.916667,
K00198,431,1.0,,0.992701,
K00200,277,0.970874,,0.97619,
K00201,346,0.934307,,0.909091,
K00202,323,0.992,,0.832,
K00203,148,0.8,,0.645161,
K00204,48,0.941176,,0.857143,
K00205,135,1.0,,0.857143,
K00206,98,0.967742,,0.962963,
K00207,358,0.992701,,0.909091,
K00208,2541,0.99004,,0.929425,
K00209,620,0.995918,,0.96,
K00211,147,0.981818,no negative,0.956522,
K00212,43,0.5,,0.0,
K00213,331,0.947368,,0.851485,
K00214,275,0.893204,,0.753623,
K00215,4715,0.973528,,0.918778,
K00216,514,0.904255,,0.839695,
K00217,665,0.894737,,0.825532,
K00218,304,0.823529,,0.702703,
K00219,1152,0.984816,,0.937063,
K00220,505,0.989474,,0.975,
K00221,100,0.83871,,0.666667,
K00222,383,0.914286,,0.849057,
K00223,174,0.969697,,0.923077,
K00224,375,0.965517,,0.913386,
K00225,100,1.0,no negative,0.962963,
K00226,769,0.925926,,0.87619,
K00227,904,0.752,,0.675,
K00228,2585,0.992063,,0.940914,
K00230,1084,0.847458,,0.734824,
K00231,2729,0.855814,,0.831276,
K00232,2548,0.903808,,0.820106,
K00233,104,1.0,,0.923077,
K00234,440,0.946746,,0.944882,
K00235,653,0.95082,,0.93913,
K00236,715,0.891566,,0.774869,
K00237,571,0.911628,,0.924855,
K00239,2482,0.960082,,0.876647,
K00240,2654,0.972872,,0.855886,
K00241,3620,0.902386,,0.791096,
K00242,1935,0.904698,,0.852255,
K00243,1400,0.980462,,0.905312,
K00244,165,0.983051,,0.95,
K00245,191,0.921053,,0.75,
K00245+K00246,1,1.0,,,
K00245+K00247,1,1.0,,,
K00246,285,0.842105,,0.655172,
K00247,268,0.771084,,0.806452,
K00248,1090,0.724138,,0.590476,
K00249,6617,0.648517,,0.559916,
K00251,158,1.0,no negative,0.923077,
K00252,2237,0.986301,,0.90719,
K00253,1107,0.971154,,0.91689,
K00254,3712,0.986283,,0.951515,
K00255,1082,0.805556,,0.740331,
K00257,52,1.0,no negative,0.909091,
K00258,21,0.727273,,0.333333,
K00259,2759,0.991736,,0.961973,
K00260,380,0.896,,0.8,
K00261,1999,0.883117,,0.852123,
K00262,2065,0.983931,,0.937685,
K00263,1113,0.983908,,0.913265,
K00264,301,0.893939,,0.839286,
K00265,2235,0.890395,,0.859717,
K00266,3352,0.955065,,0.898029,
K00270,73,1.0,,1.0,
K00271,194,0.945946,,0.965517,
K00272,480,0.894118,,0.869565,
K00273,1163,0.862661,,0.809651,
K00274,2340,0.78232,,0.631912,
K00275,4575,0.935227,,0.82903,
K00276,2048,0.918575,,0.780069,
K00277,349,0.963504,,0.842105,
K00278,3153,0.960706,,0.91659,
K00278+K00767,42,0.823529,,,
K00279,936,0.915254,,0.846975,
K00280,844,0.738351,,0.786885,
